variable,desc,alias,level,section,scale,subscale,aggregate,aggregate_ref,type,required,condition,sum_type,MAX,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9
#,,,,,,,,,,,,,,,,,,,,,,
# Version eMAPS Scorer: 2020.01,,,,,,,,,,,,,,,,,,,,,,
# Version eMAPS: 6.3,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,MAX = ,,,63,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# STREETSCAPE,,,,,,,,,,MAX=,,,19,MIN=,-9,,,,,,,
Q_033_r,Buffer seguridad - Lado derecho,seg_acera_buffer_der,segment,sidewalks,sidewalk_positive,sidewalk_buffer,,Q_033,numeric,TRUE,,positive,,(>0)=1,*=0,,,,,,,
### Pedestrian street ,,,,,,,,,,,,,8,,,,,,,,,
Q_004,Circulación,seg_circulacion,segment,sidewalks,sidewalk_positive,pedestrian_street ,,,option,TRUE,,positive,8,A=0:Vehicular,B=8:Peatonal,*=0,,,,,,
## Sidewalk negative,,,,,,,,,,MAX=,,,-8,,,,,,,,,
### Sidewalk continuity,,,,,,,,,,,,,-2,,,,,,,,,
Q_029,Continuidad de Acera,seg_acera_continuidad,segment,sidewalks,sidewalk_negative,sidewalk_continuity,TRUE,,numeric,TRUE,,negative,-2,"(>0, <=1)=-1",(>=2)=-2,*=0,,,,,,
Q_029_l,Continuidad acera - Lado izquierdo,seg_acera_continuidad_izq,segment,sidewalks,sidewalk_negative,sidewalk_continuity,,Q_029,bool,TRUE,,negative,,True=1,False=0,*=0,,,,,,
Q_029_r,Continuidad acera - Lado derecho,seg_acera_continuidad_der,segment,sidewalks,sidewalk_negative,sidewalk_continuity,,Q_029,bool,TRUE,,negative,,True=1,False=0,,,,,,,
### Bad sidewalk quality,,,,,,,,,,,,,-2,,,,,,,,,
Q_032_NEG,Estado de la acera,seg_acera_estado,segment,sidewalks,sidewalk_negative,good_sidewalk_quality,TRUE,,numeric,TRUE,,negative,-2,"(>0, <=1)=-1",(>=2)=-2,*=0,,,,,,
Q_032_l,Estado de la acera - Lado izquierdo,seg_acera_estado_izq,segment,sidewalks,sidewalk_negative,good_sidewalk_quality,,Q_032_NEG,option,TRUE,,negative,,A=0:Muy Bueno,B=0:Bueno,C=0:Regular,D=1:Malo,E=1:Muy Malo,,,,
Q_032_r,Estado de la acera - Lado derecho,seg_acera_estado_der,segment,sidewalks,sidewalk_negative,good_sidewalk_quality,,Q_032_NEG,option,TRUE,,negative,,A=0:Muy Bueno,B=0:Bueno,C=0:Regular,D=1:Malo,E=1:Muy Malo,,,,
### Obstacles,,,,,,,,,,,,,-2,,,,,,,,,
Q_047_OBS,Obstáculos,seg_acera_obstaculos,segment,sidewalks,sidewalk_negative,obstacles,TRUE,,numeric,TRUE,,negative,-2,"(>=0, <=0)=0","(>0,<=1)=-1",(>1)=-2,*=0,,,,,
Q_047,No. de obstáculos Salvables,seg_acera_num_obstacules_perm_salv_izq,segment,sidewalks,sidewalk_negative,obstacles,TRUE,Q_047_OBS,formula,TRUE,,negative,,[value] * 0.5,,,,,,,,
Q_047_l,No. de obstáculos Permanentes Salvables - Lado izquierdo,seg_acera_num_obstacules_perm_salv_izq,segment,sidewalks,sidewalk_negative,obstacles,,Q_047,formula,TRUE,,negative,,[value],,,,,,,,
Q_047_r,No. de obstáculos Permanentes Salvables - Lado derecho,seg_acera_num_obstacules_perm_salv_der,segment,sidewalks,sidewalk_negative,obstacles,,Q_047,formula,TRUE,,negative,,[value],,,,,,,,
Q_049_l,No. de obstáculos Temporales salvables - Lado izquierdo,seg_acera_num_obstacules_temp_salv_izq,segment,sidewalks,sidewalk_negative,obstacles,,Q_047,formula,FALSE,,negative,,[value],,,,,,,,
Q_049_r,No. de obstáculos Temporales salvables - Lado derecho,seg_acera_num_obstacules_temp_salv_der,segment,sidewalks,sidewalk_negative,obstacles,,Q_047,formula,FALSE,,negative,,[value],,,,,,,,
Q_048,No. de obstáculos Insalvables,seg_acera_num_obstacules_perm_salv_izq,segment,sidewalks,sidewalk_negative,obstacles,TRUE,Q_047_OBS,formula,TRUE,,negative,,[value],,,,,,,,
Q_048_l,No. de obstáculos Permanentes Insalvables - Lado izquierdo,seg_acera_num_obstacules_perm_insalv_izq,segment,sidewalks,sidewalk_negative,obstacles,,Q_048,formula,TRUE,,negative,,[value],,,,,,,,
Q_048_r,No. de obstáculos Permanentes Insalvables - Lado derecho,seg_acera_num_obstacules_perm_insalv_der,segment,sidewalks,sidewalk_negative,obstacles,,Q_048,formula,TRUE,,negative,,[value],,,,,,,,
Q_050_l,No. de obstáculos Temporales Insalvables - Lado izquierdo,seg_acera_num_obstacules_temp_insalv_izq,segment,sidewalks,sidewalk_negative,obstacles,,Q_048,formula,FALSE,,negative,,[value],,,,,,,,
Q_050_r,No. de obstáculos Temporales Insalvables - Lado derecho,seg_acera_num_obstacules_temp_insalv_der,segment,sidewalks,sidewalk_negative,obstacles,,Q_048,formula,FALSE,,negative,,[value],,,,,,,,
### Vehicle ramps ,,,,,,,,,,,,,-2,,,,,,,,,
Q_021_SEG,Número de Rampas Vehiculares,seg_vehicle_ramps,segment,sidewalks,sidewalk_negative,obstacles,TRUE,,num_in_parcels,FALSE,,negative,-2,"(>=0, <=1)=0","(>1,<=5)=-1",(>5)=-2,*=0,,,,,
Q_021,Rampas vehiculares,build_vehicle_ramps,parcel,sidewalks,sidewalk_negative,obstacles,,Q_021_SEG,bool,TRUE,,positive,,True=1,False=0,,,,,,,
### Sidewalk width negativo,,,,,,,,,,,,,2,,,,,,,,,
Q_030,Ancho de Acera,seg_acera_ancho,segment,sidewalks,sidewalk_positive,sidewalk_existence,TRUE,,numeric,TRUE,,positive,2,"(>0, <=1)=-1",(>=2)=-2,*=0,,,,,,
Q_030_l,Ancho acera - Lado izquierdo,seg_acera_ancho_izq,segment,sidewalks,sidewalk_positive,sidewalk_existence,,Q_030,numeric,TRUE,,positive,,(<1.5)=1,*=0,,,,,,,
Q_030_r,Ancho acera - Lado derecho,seg_acera_ancho_der,segment,sidewalks,sidewalk_positive,sidewalk_existence,,Q_030,numeric,TRUE,,positive,,(<1.5)=1,*=0,,,,,,,
### Buffer negativo,,,,,,,,,,,,,2,,,,,,,,,
